product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-04 23:02:01.764555199+00:00,67381.52,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.068754879951662e-05,-7.260093559790381e-07,196,3.2666666666666666,3.2786153929949144e-05,0
BTC-USD,2026-04-04 23:02:01.970754726+00:00,67381.52,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.068754879951662e-05,-7.260093559790381e-07,196,3.2666666666666666,3.2786153929949144e-05,0
BTC-USD,2026-04-04 23:02:01.995959307+00:00,67381.51,67381.515,-1.484086549421845e-07,0.010000000009313226,0.0014840865494510217,4.0583642166044286e-05,-7.230624136268093e-07,197,3.283333333333333,3.278622521349962e-05,0
BTC-USD,2026-04-04 23:02:02.219793671+00:00,67381.51,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.048053956296372e-05,-7.193920460449474e-07,198,3.3,3.28905056159346e-05,0
BTC-USD,2026-04-04 23:02:02.249729865+00:00,67381.52,67381.515,1.4840865501049382e-07,0.010000000009313226,0.0014840865494510217,4.048055432479122e-05,-7.186387026184981e-07,198,3.3,3.2995710362940744e-05,0
BTC-USD,2026-04-04 23:02:02.718995350+00:00,67381.52,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.055436648856964e-05,-6.087419973460236e-07,197,3.283333333333333,3.2995710362940744e-05,0
BTC-USD,2026-04-04 23:02:03.470050491+00:00,67381.52,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.045132880290962e-05,-6.0565193644579e-07,198,3.3,3.2890357297229284e-05,0
BTC-USD,2026-04-04 23:02:03.722638693+00:00,67381.52,67381.515,0.0,0.010000000009313226,0.0014840865494510217,4.055436648856964e-05,-6.087419973460236e-07,197,3.283333333333333,3.299563760846846e-05,0
BTC-USD,2026-04-04 23:02:05.220981162+00:00,67381.52,67379.055,0.0,0.00999999999476131,0.0014841407310864352,4.0868266105466807e-05,-6.182043081854053e-07,194,3.2333333333333334,3.2682859798325096e-05,0
BTC-USD,2026-04-04 23:02:05.244581479+00:00,67379.15,67379.055,-3.517346715860012e-05,0.00999999999476131,0.0014841407310864352,4.0943459210818355e-05,-8.004502520123489e-07,194,3.2333333333333334,3.2682455377901555e-05,0
BTC-USD,2026-04-04 23:02:05.471177798+00:00,67379.15,67379.055,0.0,0.00999999999476131,0.0014841407310864352,4.083783872291896e-05,-7.963242197854812e-07,195,3.25,3.27865085689353e-05,0
BTC-USD,2026-04-04 23:02:05.494391274+00:00,67379.06,67379.055,-1.335725667423183e-06,0.00999999999476131,0.0014841407310864352,4.0837816484147025e-05,-8.03209403638178e-07,195,3.25,3.27869435973724e-05,0
BTC-USD,2026-04-04 23:02:06.220291130+00:00,67379.06,67379.055,0.0,0.00999999999476131,0.0014841407310864352,4.0837816484147025e-05,-8.03209403638178e-07,195,3.25,3.257981118162219e-05,0
BTC-USD,2026-04-04 23:02:07.472400694+00:00,67379.06,67379.055,0.0,0.00999999999476131,0.0014841407310864352,4.094343621402774e-05,-8.073711103927799e-07,194,3.2333333333333334,3.2477706289241516e-05,0
